id,nombre_direccion,comuna_id
83,Route 30 786,8
84,Fairway Drive 4660,1
85,Route 30 4066,0
86,Jefferson Avenue 3041,6
87,Route 1 3135,7
88,Main Street 3682,0
89,Highland Drive 4146,5
90,Route 1 874,4
91,Route 30 67,0
92,Woodland Drive 2853,0
93,Route 30 245,0
94,River Street 604,6
95,Arlington Avenue 1366,9
96,Devon Court 3672,1
97,Broad Street 295,6
98,Woodland Drive 1518,7
99,Maiden Lane 3721,8
100,Garfield Avenue 2603,4
101,Forest Street 2952,3
102,Williams Street 3510,0
103,Route 30 1592,8
104,Broad Street 2529,3
105,Briarwood Drive 3382,3
106,Essex Court 1867,0
107,John Street 2613,8
108,Warren Avenue 2893,3
109,Route 1 3200,2
110,Charles Street 1972,2
111,Briarwood Drive 878,9
112,John Street 3064,8
113,Franklin Court 3459,2
114,Charles Street 2276,5
115,Toesca 1635,1
116,Av. Libertador Bernardo O`Higgins 1774,1
117,Linden Avenue 2922,8
118,Court Street 3348,8
119,Heather Lane 619,5
120,Andover Court 1178,4
121,Highland Drive 3387,8
122,Andover Court 647,1
123,Woodland Drive 3813,6
124,Maiden Lane 1986,2
125,Cedar Lane 71,8
126,Highland Drive 950,0
127,Cottage Street 3351,1
128,Windsor Drive 670,2
129,Clay Street 2540,8
130,Av. Santa Rosa 2374,5
131,Charles Street 983,1
132,Laurel Lane 4090,4
133,Heather Lane 2100,5
134,Andover Court 4045,0
135,Charles Street 3434,7
136,Monroe Street 3788,4
137,Essex Court 4589,3
138,King Street 1025,2
139,Rose Street 2454,1
140,Clay Street 2957,8
141,Madison Avenue 3001,7
142,Clay Street 3319,9
143,Arlington Avenue 268,5
144,Monroe Street 837,0
145,River Street 4818,6
146,Mosqueto 515,5
147,Ann Street 3244,8
148,Laurel Drive 3088,4
149,Grand Avenue 4767,2
150,Olive Street 3043,9
151,King Street 3890,2
152,Devon Court 1310,0
153,Grand Avenue 1522,8
154,Fairway Drive 2033,0
155,Broad Street 1315,3
156,Olive Street 4029,6
157,Summit Avenue 3326,1
158,Atlantic Avenue 1604,9
159,Monroe Street 4067,1
160,Avda. Concha y Toro 3999,9
161,Cottage Street 2258,0
162,River Street 1264,7
163,Monroe Street 722,8
164,Grand Avenue 934,2
165,Pleasant Street 336,7
166,River Street 3120,1
167,Crescent Street 1316,8
168,Main Street 115,4
169,Heather Lane 4463,5
170,Main Street 3792,0
171,Woodland Drive 1057,1
172,Crescent Street 4607,0
173,Franklin Court 3949,9
174,John Street 2386,6
175,Essex Court 4227,9
176,Essex Court 2063,5
177,Windsor Drive 1335,1
178,Williams Street 968,4
179,White Street 4315,3
180,Pleasant Street 373,4
181,Monroe Street 1385,0
182,Willow Avenue 4808,4
183,Cedar Lane 561,2
184,Highland Drive 886,7
185,Charles Street 2796,5
186,Grand Avenue 2643,7
187,Rose Street 405,9
188,Monroe Street 799,7
189,Grand Avenue 1590,0
190,Woodland Drive 3915,8
191,Linden Avenue 1271,4
192,Court Street 632,1
193,Ann Street 1799,2
194,Main Street 1289,6
195,Av. Departamental 1901,5
196,White Street 2213,1
197,Clay Street 422,4
198,Av. Gral. Bonilla 8220,8
199,Av. Tobalaba 117,0
200,Gran Avenida JosÃ© Miguel Carrera 8870,6
201,Clay Street 1372,8
202,White Street 1015,7
203,Devon Court 2205,9
204,Franklin Avenue 2649,3
205,Arlington Avenue 4816,3
206,Devon Court 3528,0
207,Clay Street 818,7
208,Front Street North 632,4
209,Essex Court 2503,7
210,Placer 1310,8
211,Route 1 2885,2
212,Windsor Drive 527,4
213,Court Street 2153,6
214,Arlington Avenue 2472,3
215,Franklin Avenue 4601,7
216,Court Street 3757,0
217,Laurel Drive 3282,6
218,Front Street North 2994,8
219,John Street 2441,0
220,Av. Recoleta 1502,6
221,Linden Avenue 2619,1
222,Highland Drive 2644,0
223,Country Club Road 841,7
224,Crescent Street 3505,6
225,Willow Avenue 4908,1
226,Atlantic Avenue 2281,5
227,Cedar Avenue 1037,7
228,Devon Court 3201,1
229,Ann Street 4403,0
230,River Street 1089,6
231,Jefferson Avenue 4092,6
232,Cottage Street 4390,9
233,Av. Grecia 2298,3
234,Crescent Street 4239,7
235,Highland Drive 4991,7
236,Route 30 2378,0
237,Summit Avenue 628,4
238,Av. IrarrÃ¡zaval 2461,0
239,Av. Neptuno Oriente frente al 260,9
240,River Street 737,8
241,Monroe Street 2206,1
242,Olive Street 836,8
243,Woodland Drive 1189,9
244,Hanover Court 233,0
245,John Street 2175,1
246,Laurel Lane 1405,1
247,Country Club Road 1963,4
248,Highland Drive 3514,7
249,Essex Court 2441,5
250,Charles Street 3718,4
251,Madison Avenue 139,6
252,Warren Avenue 1987,8
253,Main Street 2640,0
254,Highland Drive 4013,2
255,Clay Street 4052,4
256,Woodland Drive 2515,7
257,White Street 590,4
258,Highland Drive 278,2
259,Pleasant Street 3100,3
260,Cedar Lane 3546,8
261,Av. Ricardo Cumming 502,6
262,Laurel Lane 185,9
263,Warren Avenue 295,0
264,Laurel Lane 2035,3
265,Arlington Avenue 668,5
266,Forest Street 230,2
267,Clay Street 3322,2
268,Av. Apoquindo 8613,5
269,Arlington Avenue 4121,2
270,Monroe Street 1078,7
271,Briarwood Drive 3577,7
272,Summit Avenue 226,9
273,Maiden Lane 4538,4
274,Orchard Avenue 229,4
275,Crescent Street 108,6
276,Clay Street 750,6
277,Clay Street 871,1
278,John Street 1387,6
279,Country Club Road 3620,0
280,Ann Street 3226,5
281,John Street 3146,6
282,Pleasant Street 4409,7
283,Front Street North 869,3
284,Warren Avenue 4563,1
285,Crescent Street 822,5
286,Laurel Drive 2916,7
287,Grand Avenue 1962,9
288,Charles Street 2985,2
289,Fairway Drive 3925,1
290,Atlantic Avenue 3142,4
291,Laurel Drive 149,2
292,Olive Street 4150,7
293,Franklin Avenue 1160,6
294,Country Club Road 4834,9
295,King Street 2448,5
296,Cottage Street 158,5
297,Hanover Court 967,5
298,Grand Avenue 2112,4
299,Cottage Street 2289,3
300,Woodland Drive 59,6
301,Orchard Avenue 3603,5
302,Laurel Lane 4391,7
303,Broad Street 3333,6
304,Monroe Street 4619,0
305,Fairway Drive 4222,0
306,Forest Street 2442,0
307,Charles Street 1602,1
308,Atlantic Avenue 4105,8
309,Route 1 2262,9
310,Av. Nueva Providencia 2249,3
311,Maiden Lane 1589,2
312,Willow Avenue 483,5
313,River Street 4457,6
314,Cottage Street 2707,0
315,Laurel Lane 2762,5
316,Orchard Avenue 376,9
317,Orchard Avenue 3076,3
318,Williams Street 2395,0
319,Highland Drive 3472,7
320,Linden Avenue 4404,2
321,Main Street 2560,9
322,White Street 4278,2
323,Fairway Drive 1177,2
324,Rose Street 3186,7
325,Summit Avenue 3228,2
326,Madison Avenue 3309,4
327,Olive Street 2800,3
328,Atlantic Avenue 2134,9
329,Main Street 1443,3
330,Highland Drive 4637,5
331,Route 1 2935,4
332,Franklin Court 4817,4
333,Las Bellotas 200,2
334,River Street 2083,6
335,Hanover Court 4895,4
336,Route 1 4790,2
337,Pleasant Street 3593,6
338,Clay Street 576,6
339,White Street 2184,8
340,Olive Street 4525,5
341,King Street 3741,1
342,Cedar Avenue 4441,2
343,Jefferson Avenue 3742,9
344,Briarwood Drive 3263,6
345,Broad Street 1655,5
346,White Street 3799,0
347,Willow Avenue 4570,3
348,Devon Court 4768,1
349,Heather Lane 2710,9
350,Rose Street 4896,0
351,Andover Court 3454,1
352,Devon Court 2680,2
353,Jefferson Avenue 3341,6
354,Essex Court 4795,0
355,Madison Avenue 70,3
356,Devon Court 2297,5
357,Clay Street 2428,6
358,Front Street North 137,6
359,Atlantic Avenue 4489,5
360,Clay Street 2767,0
361,Garfield Avenue 2017,1
362,Front Street North 1809,0
363,Forest Street 2768,4
364,Court Street 2180,5
365,Main Street 4571,2
366,Court Street 4965,4
367,River Street 2671,2
368,White Street 2317,9
369,Grand Avenue 1748,4
370,Country Club Road 4157,8
371,Clay Street 227,4
372,Main Street 2485,4
373,Heather Lane 1991,2
374,Laurel Drive 3156,5
375,Andover Court 3651,2
376,Laurel Lane 3861,5
377,River Street 4029,8
378,Franklin Court 1511,6
379,Charles Street 4929,6
380,Andover Court 1355,6
381,Warren Avenue 146,5
382,Clay Street 2293,5
383,Franklin Avenue 4036,5
384,Cedar Lane 347,1
385,Essex Court 2721,1
386,Windsor Drive 2846,8
387,Court Street 2044,1
388,Francisco Bilbao 3785,6
389,Laurel Drive 660,5
390,Atlantic Avenue 2932,8
391,Grand Avenue 1516,0
392,Essex Court 3391,1
393,Cedar Avenue 3394,3
394,Linden Avenue 2662,6
395,John Street 4672,1
396,Andover Court 2773,2
397,Atlantic Avenue 3806,1
398,General Mackenna 1100,7
399,Cottage Street 2531,8
400,Essex Court 2701,3
401,River Street 746,7
402,Country Club Road 4542,2
403,Garfield Avenue 885,2
404,Warren Avenue 307,0
405,John Street 4289,6
406,Jefferson Avenue 3432,9
407,Linden Avenue 4803,2
408,Fairway Drive 4281,9
409,Ann Street 2519,7
410,Atlantic Avenue 1956,1
411,Andover Court 2409,6
412,Charles Street 1899,1
413,Devon Court 3671,6
414,Orchard Avenue 1593,7
415,Cedar Avenue 85,6
416,River Street 3285,5
417,Av. Irarrazaval 351,8
418,Franklin Avenue 1401,4
419,Essex Court 417,4
420,River Street 1019,2
421,Grand Avenue 1516,2
422,Fairway Drive 3306,4
423,Forest Street 2220,1
424,White Street 860,8
425,Highland Drive 2701,4
426,Broad Street 3797,7
427,Garfield Avenue 3781,7
428,Heather Lane 3233,6
429,Orchard Avenue 2495,6
430,Ann Street 1084,5
431,Arlington Avenue 109,7
432,Ann Street 829,8
433,Madison Avenue 4799,6
434,Orchard Avenue 4597,6
435,Cedar Lane 4637,8
436,Willow Avenue 2640,6
437,Williams Street 652,3
438,Highland Drive 3737,2
439,Av. General Bonilla 5900,5
440,Av. General Rondizzoni 1650,3
441,River Street 2787,9
442,Cedar Avenue 202,0
443,Carlos Dittborn 300,2
444,Hanover Court 4199,9
445,Ann Street 2635,3
446,Charles Street 1043,6
447,Country Club Road 536,7
448,Rose Street 2406,1
449,Willow Avenue 1545,1
450,River Street 497,9
451,Andover Court 3074,2
452,Forest Street 3040,4
453,Front Street North 3343,3
454,Franklin Avenue 980,2
455,River Street 3296,4
456,River Street 4882,5
457,Cottage Street 3812,4
458,Front Street North 3947,4
459,Windsor Drive 1475,1
460,Cedar Lane 315,0
461,Court Street 3062,4
462,Andover Court 2810,5
463,Briarwood Drive 2832,0
464,Williams Street 2650,3
465,Devon Court 1840,9
466,Briarwood Drive 1647,9
467,Route 30 2029,3
468,Devon Court 3929,9
469,Linden Avenue 2658,9
470,Front Street North 2135,2
471,Maiden Lane 3377,1
472,King Street 2313,8
473,Charles Street 2971,8
474,Briarwood Drive 780,5
475,Arlington Avenue 2908,6
476,Williams Street 3445,1
477,Maiden Lane 152,1
478,Laurel Drive 3477,8
479,Woodland Drive 3918,3
480,Garfield Avenue 3840,2
481,Atlantic Avenue 3909,9
482,Essex Court 773,0
483,Laurel Lane 3130,1
484,Windsor Drive 2832,3
485,Williams Street 2863,9
486,Front Street North 2520,7
487,Hanover Court 545,3
488,Forest Street 384,9
489,Front Street North 392,8
490,Maiden Lane 3658,5
491,Grand Avenue 4437,6
492,Crescent Street 4274,2
493,Avda. Pajaritos 5090,8
494,Jefferson Avenue 495,0
495,Route 1 443,5
496,Madison Avenue 4835,2
497,Av. VicuÃ±a Mackenna 7897,5
498,Main Street 3075,1
499,Route 30 2227,8
500,Cedar Lane 3035,7
501,Gran Avenida JosÃ© Miguel Carrera 8870,4
502,Jefferson Avenue 1493,1
503,Highland Drive 4275,6
504,Pleasant Street 3468,0
505,Heather Lane 1081,4
506,Franklin Avenue 4858,1
507,Williams Street 4341,9
508,Windsor Drive 3581,4
509,Main Street 1587,8
510,Broad Street 1832,5
511,Grand Avenue 4640,4
512,Atlantic Avenue 4686,0
513,Av. Providencia 011,0
514,Clay Street 250,5
515,Devon Court 537,9
516,Route 30 4375,4
517,Olive Street 2656,0
518,Olive Street 4288,9
519,Garfield Avenue 656,0
520,Clay Street 134,0
521,Jefferson Avenue 540,4
522,Broad Street 987,0
523,Country Club Road 2062,0
524,Highland Drive 2965,9
525,Grand Avenue 3033,2
526,Highland Drive 4325,9
527,Jefferson Avenue 3467,1
528,Laurel Lane 4602,0
529,Willow Avenue 4483,4
530,Av. Carlos Valdovinos 3346,0
531,Fairway Drive 4498,3
532,Laurel Lane 2512,6
533,John Street 4729,1
534,Charles Street 4082,6
535,Devon Court 486,4
536,Country Club Road 1654,0
537,Grand Avenue 309,1
538,Country Club Road 730,2
539,Cedar Avenue 532,3
540,Warren Avenue 2279,4
541,Av. Teniente Cruz 800,4
542,Garfield Avenue 2452,2
543,Crescent Street 4981,0
544,Route 1 4882,6
545,King Street 3801,0
546,Warren Avenue 4549,6
547,Catedral 1512,0
548,Ann Street 2364,4
549,Orchard Avenue 2312,4
550,Grand Avenue 2551,4
551,Summit Avenue 3160,3
552,Forest Street 4752,2
553,Arlington Avenue 831,6
554,Av. Recoleta 3202,2
555,Av. Apoquindo 7095,0
556,Williams Street 3024,8
557,Madison Avenue 230,6
558,Hanover Court 978,8
559,John Street 1867,3
560,Main Street 2504,8
561,Av. Pedro de Valdivia 1664,9
562,Cedar Lane 3545,2
563,Olive Street 652,8
564,Charles Street 4347,6
565,Andover Court 3766,0
566,Eliodoro YaÃ±ez 2987,3
567,Crescent Street 3697,8
568,Heather Lane 1013,9
569,Hanover Court 2373,6
570,Franklin Avenue 3996,7
571,Hanover Court 4550,0
572,Maiden Lane 2307,9
573,Cottage Street 866,6
574,Ann Street 1662,3
575,Court Street 3925,1
576,Pleasant Street 4994,3
577,Franklin Court 3064,2
578,Franklin Avenue 2321,3
579,Maiden Lane 704,9
580,Andover Court 2023,0
581,Cedar Lane 3237,5
582,White Street 834,5
583,King Street 1142,6
584,Grand Avenue 2077,6
585,Laurel Drive 3276,9
586,Route 30 3527,3
587,Devon Court 267,9
588,Briarwood Drive 4966,2
589,Atlantic Avenue 2542,5
590,Willow Avenue 2535,6
591,Ann Street 589,3
592,Orchard Avenue 1902,3
593,John Street 835,4
594,Arlington Avenue 4972,4
595,Highland Drive 1008,7
596,Ann Street 4222,6
597,Laurel Lane 384,9
598,Highland Drive 4538,9
599,Madison Avenue 768,3
600,John Street 2589,2
601,Atlantic Avenue 565,6
602,Monroe Street 3763,6
603,John Street 1113,5
604,Broad Street 2166,9
605,Arlington Avenue 2379,4
606,River Street 2143,8
607,Essex Court 332,1
608,Hanover Court 4686,0
609,Rose Street 669,9
610,Charles Street 2233,0
611,Atlantic Avenue 3689,0
612,Briarwood Drive 4395,4
613,Linden Avenue 1294,7
614,Cedar Lane 3337,8
615,John Street 2805,4
616,Williams Street 661,6
617,Rose Street 3548,0
618,Maiden Lane 584,9
619,Maiden Lane 3734,1
620,Country Club Road 1660,2
621,Woodland Drive 3706,6
622,Av. San Pablo 6190,0
623,Charles Street 2242,5
624,River Street 682,5
625,Franklin Court 4591,1
626,Crescent Street 1888,4
627,Heather Lane 744,2
628,Rose Street 1162,7
629,King Street 4861,8
630,Crescent Street 2796,8
631,Franklin Avenue 2144,9
632,Linden Avenue 1131,5
633,River Street 4089,1
634,Route 30 4475,5
635,Jefferson Avenue 1271,2
636,Atlantic Avenue 4905,8
637,Franklin Court 514,1
638,Country Club Road 890,4
639,Willow Avenue 1246,3
640,King Street 3451,2
641,Devon Court 2571,0
642,Garfield Avenue 1232,6
643,Route 30 1184,9
644,Route 1 1200,9
645,Hanover Court 264,1
646,Laurel Lane 2040,4
647,Franklin Court 1713,9
648,Main Street 2736,5
649,Franklin Court 1370,1
650,Pleasant Street 665,5
651,Franklin Avenue 1230,0
652,Essex Court 1003,0
653,Highland Drive 3424,0
654,Pleasant Street 863,4
655,Cedar Avenue 1075,0
656,Orchard Avenue 3302,2
657,Court Street 1293,8
658,Broad Street 787,1
659,Grand Avenue 1541,7
660,Ann Street 389,1
661,Highland Drive 1885,1
662,King Street 482,4
663,Front Street North 4949,5
664,Orchard Avenue 2765,5
665,Pleasant Street 3645,0
666,Orchard Avenue 447,4
667,Jefferson Avenue 96,4
668,White Street 3589,8
669,Country Club Road 4784,2
670,Forest Street 657,6
671,Court Street 1927,4
672,Devon Court 627,4
673,River Street 2804,5
674,Monroe Street 4545,8
675,Franklin Avenue 2101,8
676,Maiden Lane 441,8
677,Heather Lane 490,8
678,River Street 4789,9
679,Route 30 2754,8
680,Warren Avenue 4339,0
681,Willow Avenue 421,0
682,Ann Street 4310,9
683,Madison Avenue 1078,1
684,Broad Street 3091,4
685,Cottage Street 972,4
686,Hanover Court 2200,4
687,Cottage Street 2304,8
688,Williams Street 3223,6
689,Willow Avenue 227,1
690,King Street 3020,0
691,Summit Avenue 4735,1
692,Cedar Lane 904,4
693,Jefferson Avenue 4153,7
694,Atlantic Avenue 2163,2
695,Main Street 214,0
696,Grand Avenue 4477,7
697,Franklin Avenue 4126,8
698,Willow Avenue 2889,2
699,River Street 3781,6
700,Clay Street 4751,6
701,Maiden Lane 1583,5
702,Garfield Avenue 4720,3
703,Rose Street 4188,6
704,Laurel Lane 3441,3
705,John Street 1789,8
706,Woodland Drive 775,8
707,River Street 3581,6
708,Orchard Avenue 2077,8
709,Route 1 2027,8
710,Orchard Avenue 4853,6
711,Main Street 3605,2
712,Country Club Road 3557,4
713,Clay Street 3178,7
714,Court Street 1500,0
715,Linden Avenue 2525,2
716,Clay Street 3713,4
717,Grand Avenue 2550,4
718,Windsor Drive 987,0
719,King Street 3130,7
720,Ann Street 640,3
721,Front Street North 4784,4
722,Linden Avenue 2700,4
723,Devon Court 1747,6
724,Briarwood Drive 2036,5
725,Andover Court 1601,8
726,Woodland Drive 3138,5
727,Pleasant Street 2789,8
728,Cottage Street 3751,1
729,Franklin Avenue 3200,6
730,Andover Court 519,6
731,Windsor Drive 2400,5
732,Hanover Court 1001,9
733,White Street 735,4
734,Clay Street 895,8
735,Orchard Avenue 87,5
736,Arlington Avenue 325,1
737,Atlantic Avenue 4736,5
738,Laurel Drive 738,3
739,Atlantic Avenue 1529,2
740,Main Street 2068,3
741,Clay Street 4552,4
742,Summit Avenue 1949,1
743,John Street 2411,6
744,Crescent Street 1818,0
745,Franklin Avenue 2768,0
746,Woodland Drive 3484,1
747,Av. AmÃ©rico Vespucio Frente al 7340,5
748,Heather Lane 251,0
749,Franklin Court 3590,2
750,Orchard Avenue 2674,2
751,Front Street North 1244,5
752,Arlington Avenue 4835,5
753,Williams Street 4508,0
754,White Street 2344,2
755,Monroe Street 3881,2
756,John Street 4986,8
757,Route 30 1523,8
758,Orchard Avenue 1202,6
759,Forest Street 2493,0
760,Olive Street 3114,1
761,White Street 343,6
762,Pleasant Street 2522,4
763,Linden Avenue 136,6
764,Olive Street 4663,3
765,Route 30 2876,6
766,Forest Street 4452,9
767,Cottage Street 4941,7
768,Heather Lane 4365,9
769,Hanover Court 3048,9
770,King Street 2163,1
771,River Street 902,4
772,Monroe Street 4209,5
773,Rose Street 3267,5
774,Country Club Road 3172,3
775,Ann Street 1441,7
776,Catedral 3336,6
777,Franklin Avenue 1230,8
778,21 de Mayo 543,7
779,Court Street 3427,7
780,Route 1 3173,7
781,Williams Street 317,6
782,Arlington Avenue 876,1
783,Summit Avenue 136,3
784,Cedar Avenue 226,7
785,Cottage Street 80,3
786,Hanover Court 4193,1
787,Atlantic Avenue 3425,0
788,Franklin Court 683,8
789,Linden Avenue 3998,4
790,Cedar Avenue 3465,5
791,Willow Avenue 2184,2
792,Broad Street 3821,8
793,Madison Avenue 2422,8
794,John Street 2390,9
795,Woodland Drive 59,8
796,Briarwood Drive 3062,4
797,Heather Lane 844,1
798,Court Street 782,6
799,Charles Street 3906,9
800,Clay Street 837,8
801,John Street 3479,1
802,Ann Street 600,4
803,Cottage Street 3755,0
804,Route 1 3522,5
805,Franklin Court 2990,6
806,Highland Drive 4574,6
807,Crescent Street 2472,7
808,Maiden Lane 4676,2
809,Laurel Drive 4610,9
810,Crescent Street 2430,3
811,Jefferson Avenue 3085,1
812,Grand Avenue 50,2
813,Ann Street 3281,5
814,Main Street 1892,7
815,Forest Street 4107,6
816,Charles Street 1777,7
817,Summit Avenue 2923,1
818,Atlantic Avenue 1980,3
819,Woodland Drive 4124,9
820,Windsor Drive 954,0
821,Olive Street 2740,6
822,Monroe Street 4744,4
823,Willow Avenue 1859,2
824,Atlantic Avenue 2423,6
825,Arlington Avenue 3914,4
826,Garfield Avenue 2780,1
827,King Street 3002,8
828,Briarwood Drive 1882,4
829,Devon Court 2686,8
830,Maiden Lane 4448,6
831,Woodland Drive 116,7
832,Franklin Court 3534,6
833,Grand Avenue 2684,4
834,Cedar Lane 1937,2
835,Fairway Drive 3619,1
836,Andover Court 4388,6
837,Front Street North 185,7
838,Route 30 1493,2
839,Pleasant Street 4545,6
840,John Street 2141,2
841,Laurel Drive 1290,8
842,Maiden Lane 3659,3
843,Woodland Drive 2282,6
844,Orchard Avenue 3018,7
845,Court Street 2099,9
846,Briarwood Drive 4516,1
847,Highland Drive 4678,8
848,Olive Street 4254,1
849,Willow Avenue 653,2
850,Av. Providencia 1880,9
851,Forest Street 4314,4
852,Maiden Lane 1610,3
853,Franklin Court 4846,3
854,Clay Street 4486,0
855,Willow Avenue 794,5
856,River Street 4629,8
857,Av. Pajaritos 1921,9
858,Heather Lane 3389,9
859,Route 30 3987,0
860,Broad Street 2653,5
861,Route 30 4341,4
862,Essex Court 2542,0
863,White Street 2134,3
864,Orchard Avenue 886,6
865,Arlington Avenue 648,3
866,Cottage Street 1127,0
867,Crescent Street 1459,6
868,Front Street North 4654,3
869,Broad Street 4726,3
870,Laurel Drive 4275,3
871,Willow Avenue 4120,1
872,Summit Avenue 3409,8
873,Woodland Drive 4220,0
874,Forest Street 2303,4
875,Broad Street 4734,6
876,Main Street 1737,4
877,Summit Avenue 2305,9
878,River Street 1280,2
879,Essex Court 922,3
880,River Street 3553,5
881,Grand Avenue 588,9
882,Charles Street 3109,2
883,Pleasant Street 2965,3
884,Linden Avenue 4782,2
885,Charles Street 158,0
886,Highland Drive 1691,2
887,John Street 3104,0
888,Front Street North 1661,3
889,Clay Street 4849,4
890,Madison Avenue 3129,7
891,Atlantic Avenue 2497,4
892,Laurel Lane 2704,7
893,Arlington Avenue 3422,0
894,Fairway Drive 477,0
895,Route 1 3324,6
896,Heather Lane 3873,6
897,Clay Street 3287,4
898,Essex Court 2688,6
899,Fairway Drive 1668,7
900,Charles Street 981,1
901,Fairway Drive 888,9
902,Linden Avenue 3931,0
903,Summit Avenue 1816,6
904,Clay Street 835,3
905,Franklin Court 158,4
906,Clay Street 2633,3
907,Madison Avenue 467,8
908,Rose Street 3150,4
909,Arlington Avenue 1723,7
910,Woodland Drive 806,4
911,Court Street 2690,4
912,Fairway Drive 3846,0
913,Clay Street 1685,6
914,Laurel Lane 3419,5
915,Linden Avenue 98,2
916,Clay Street 3512,6
917,Pleasant Street 227,7
918,Grand Avenue 935,6
919,Garfield Avenue 4106,1
920,Essex Court 103,5
921,Broad Street 4962,0
922,Williams Street 2537,5
923,Main Street 4574,9
924,Hanover Court 3982,4
925,King Street 652,3
926,Fairway Drive 4763,4
927,Highland Drive 267,0
928,Main Street 992,0
929,Laurel Lane 3889,3
930,Hanover Court 630,3
931,Olive Street 2061,2
932,Orchard Avenue 382,6
933,Willow Avenue 3865,3
934,Highland Drive 2749,5
935,Route 1 4194,5
936,Essex Court 2317,1
937,Heather Lane 864,7
938,Andover Court 1949,1
939,Willow Avenue 4910,7
940,Laurel Lane 213,0
941,Ann Street 4048,4
942,Warren Avenue 4381,3
943,Warren Avenue 4844,3
944,Devon Court 1001,4
945,Court Street 1878,5
946,Rose Street 4095,0
947,Maiden Lane 2048,4
948,Summit Avenue 3054,6
949,Garfield Avenue 2563,3
950,Franklin Court 4082,1
951,Fairway Drive 823,6
952,White Street 2547,0
953,Laurel Lane 3600,1
954,Route 30 2584,7
955,Willow Avenue 4552,2
956,Summit Avenue 787,7
957,Garfield Avenue 1770,9
958,Williams Street 4489,2
959,King Street 4077,3
960,Highland Drive 528,0
961,Laurel Drive 1549,9
962,Madison Avenue 4442,3
963,Rose Street 366,4
964,Warren Avenue 4290,8
965,Clay Street 4224,8
966,Monroe Street 3116,9
967,Route 30 740,7
968,Front Street North 2203,0
969,Grand Avenue 4148,4
970,Cedar Lane 3033,5
971,Franklin Avenue 4485,9
972,Highland Drive 1326,0
973,Woodland Drive 2006,7
974,Front Street North 2918,2
975,Linden Avenue 3536,2
976,Summit Avenue 2386,6
977,Charles Street 4122,5
978,Court Street 3186,3
979,Fairway Drive 4602,3
980,Andover Court 3234,0
981,Willow Avenue 3098,2
982,Essex Court 1606,2
983,King Street 2216,3
984,Monroe Street 4223,7
985,Nataniel Cox 2370,5
986,Windsor Drive 369,6
987,Willow Avenue 1175,6
988,Maiden Lane 4101,8
989,Orchard Avenue 2596,1
990,Willow Avenue 1409,0
991,Ignacio Carrera Pinto altura 661,3
992,Franklin Avenue 306,5
993,Heather Lane 4128,1
994,Williams Street 3944,4
995,Fairway Drive 1802,2
996,Heather Lane 2219,4
997,Rose Street 1877,0
998,Main Street 2199,1
999,Route 1 2187,9
1000,Atlantic Avenue 2974,3
1001,Cedar Avenue 2582,7
1002,Essex Court 1146,5
1003,Route 1 494,2
1004,Crescent Street 3591,9
1005,Fairway Drive 150,2
